"dimension","value","item_count","minimum_required","status"
"skill","Abstract Revision","33","30","pass"
"skill","Data Interpretation","34","30","pass"
"skill","Evidence Evaluation","33","30","pass"
"skill","Evidence-to-Claim Mapping","33","30","pass"
"skill","Lexico-Syntactic Control","33","30","pass"
"skill","Methodological Reasoning","33","30","pass"
"skill","Reading Synthesis","34","30","pass"
"skill","Rhetorical Inference","33","30","pass"
"skill","Use of Academic English","34","30","pass"
"difficulty","C1-high","75","70","pass"
"difficulty","C2-entry","75","70","pass"
"difficulty","C2-secure","75","70","pass"
"difficulty","PhD-screening","75","70","pass"
"category_skill","A:Evidence Evaluation","33","30","pass"
"category_skill","A:Reading Synthesis","34","30","pass"
"category_skill","A:Rhetorical Inference","33","30","pass"
"category_skill","B:Abstract Revision","33","30","pass"
"category_skill","B:Lexico-Syntactic Control","33","30","pass"
"category_skill","B:Use of Academic English","34","30","pass"
"category_skill","C:Data Interpretation","34","30","pass"
"category_skill","C:Evidence-to-Claim Mapping","33","30","pass"
"category_skill","C:Methodological Reasoning","33","30","pass"
