"category","skill_module","difficulty_tier","source_domain","item_count","trap_types","p1","p2","p3","items"
"A","Evidence Evaluation","C1-high","clean-energy planning","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_044"
"A","Evidence Evaluation","C1-high","climate informatics","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_032|ACC_092"
"A","Evidence Evaluation","C1-high","computational pathology","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_008|ACC_068"
"A","Evidence Evaluation","C1-high","environmental epidemiology","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_020|ACC_080"
"A","Evidence Evaluation","C1-high","machine learning methodology","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_056"
"A","Evidence Evaluation","C2-entry","carbon-cycle science","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_017|ACC_077"
"A","Evidence Evaluation","C2-entry","climate modelling","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_005|ACC_065"
"A","Evidence Evaluation","C2-entry","exoplanet atmospheric science","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_053"
"A","Evidence Evaluation","C2-entry","research evaluation","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_041"
"A","Evidence Evaluation","C2-entry","robotic perception","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_029|ACC_089"
"A","Evidence Evaluation","C2-secure","clean-energy planning","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_014|ACC_074"
"A","Evidence Evaluation","C2-secure","climate informatics","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_002|ACC_062"
"A","Evidence Evaluation","C2-secure","computational pathology","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_038|ACC_098"
"A","Evidence Evaluation","C2-secure","environmental epidemiology","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_050"
"A","Evidence Evaluation","C2-secure","machine learning methodology","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_026|ACC_086"
"A","Evidence Evaluation","PhD-screening","carbon-cycle science","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_047"
"A","Evidence Evaluation","PhD-screening","climate modelling","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_035|ACC_095"
"A","Evidence Evaluation","PhD-screening","exoplanet atmospheric science","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_023|ACC_083"
"A","Evidence Evaluation","PhD-screening","research evaluation","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_011|ACC_071"
"A","Evidence Evaluation","PhD-screening","robotic perception","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_059"
"A","Reading Synthesis","C1-high","cryosphere geochemistry","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_016|ACC_076"
"A","Reading Synthesis","C1-high","earth-system AI","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_004|ACC_064"
"A","Reading Synthesis","C1-high","meta-science","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_040|ACC_100"
"A","Reading Synthesis","C1-high","planetary atmospheres","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_052"
"A","Reading Synthesis","C1-high","robotics","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_028|ACC_088"
"A","Reading Synthesis","C2-entry","biodiversity monitoring","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_025|ACC_085"
"A","Reading Synthesis","C2-entry","climate attribution","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_049"
"A","Reading Synthesis","C2-entry","computational structural biology","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_001|ACC_061"
"A","Reading Synthesis","C2-entry","energy systems","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_013|ACC_073"
"A","Reading Synthesis","C2-entry","translational medicine","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_037|ACC_097"
"A","Reading Synthesis","C2-secure","cryosphere geochemistry","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_046"
"A","Reading Synthesis","C2-secure","earth-system AI","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_034|ACC_094"
"A","Reading Synthesis","C2-secure","meta-science","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_010|ACC_070"
"A","Reading Synthesis","C2-secure","planetary atmospheres","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_022|ACC_082"
"A","Reading Synthesis","C2-secure","robotics","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_058"
"A","Reading Synthesis","PhD-screening","biodiversity monitoring","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_055"
"A","Reading Synthesis","PhD-screening","climate attribution","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_019|ACC_079"
"A","Reading Synthesis","PhD-screening","computational structural biology","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_031|ACC_091"
"A","Reading Synthesis","PhD-screening","energy systems","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_043"
"A","Reading Synthesis","PhD-screening","translational medicine","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_007|ACC_067"
"A","Rhetorical Inference","C1-high","atmospheric health science","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_048"
"A","Rhetorical Inference","C1-high","clinical AI","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_036|ACC_096"
"A","Rhetorical Inference","C1-high","conservation genomics","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_024|ACC_084"
"A","Rhetorical Inference","C1-high","embodied AI","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_060"
"A","Rhetorical Inference","C1-high","science communication","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_012|ACC_072"
"A","Rhetorical Inference","C2-entry","atmospheric modelling","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_033|ACC_093"
"A","Rhetorical Inference","C2-entry","exoplanet spectroscopy","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_021|ACC_081"
"A","Rhetorical Inference","C2-entry","multimodal pathology","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_009|ACC_069"
"A","Rhetorical Inference","C2-entry","permafrost carbon science","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_045"
"A","Rhetorical Inference","C2-entry","tabular machine learning","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_057"
"A","Rhetorical Inference","C2-secure","atmospheric health science","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_018|ACC_078"
"A","Rhetorical Inference","C2-secure","clinical AI","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_006|ACC_066"
"A","Rhetorical Inference","C2-secure","conservation genomics","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_054"
"A","Rhetorical Inference","C2-secure","embodied AI","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_030|ACC_090"
"A","Rhetorical Inference","C2-secure","science communication","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_042"
"A","Rhetorical Inference","PhD-screening","atmospheric modelling","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_003|ACC_063"
"A","Rhetorical Inference","PhD-screening","exoplanet spectroscopy","1","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","1","ACC_051"
"A","Rhetorical Inference","PhD-screening","multimodal pathology","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_039|ACC_099"
"A","Rhetorical Inference","PhD-screening","permafrost carbon science","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_015|ACC_075"
"A","Rhetorical Inference","PhD-screening","tabular machine learning","2","false synchrony|irrelevant policy leap|modal overclaim|scope inflation","0","0","2","ACC_027|ACC_087"
"B","Abstract Revision","C1-high","atmospheric modelling","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_123|ACC_183"
"B","Abstract Revision","C1-high","exoplanet spectroscopy","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_111|ACC_171"
"B","Abstract Revision","C1-high","multimodal pathology","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_159"
"B","Abstract Revision","C1-high","permafrost carbon science","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_135|ACC_195"
"B","Abstract Revision","C1-high","tabular machine learning","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_147"
"B","Abstract Revision","C2-entry","atmospheric health science","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_108|ACC_168"
"B","Abstract Revision","C2-entry","clinical AI","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_156"
"B","Abstract Revision","C2-entry","conservation genomics","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_144"
"B","Abstract Revision","C2-entry","embodied AI","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_120|ACC_180"
"B","Abstract Revision","C2-entry","science communication","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_132|ACC_192"
