"reviewer_id","item_id","decision","construct_alignment","key_defensibility","distractor_plausibility","language_quality","source_scope","severity","notes","reviewed_at","category","skill_module","difficulty_tier","source_domain"
"","ACC_001","","","","","","","","","","A","Reading Synthesis","C2-entry","computational structural biology"
"","ACC_002","","","","","","","","","","A","Evidence Evaluation","C2-secure","climate informatics"
"","ACC_003","","","","","","","","","","A","Rhetorical Inference","PhD-screening","atmospheric modelling"
"","ACC_004","","","","","","","","","","A","Reading Synthesis","C1-high","earth-system AI"
"","ACC_005","","","","","","","","","","A","Evidence Evaluation","C2-entry","climate modelling"
"","ACC_006","","","","","","","","","","A","Rhetorical Inference","C2-secure","clinical AI"
"","ACC_007","","","","","","","","","","A","Reading Synthesis","PhD-screening","translational medicine"
"","ACC_008","","","","","","","","","","A","Evidence Evaluation","C1-high","computational pathology"
"","ACC_009","","","","","","","","","","A","Rhetorical Inference","C2-entry","multimodal pathology"
"","ACC_010","","","","","","","","","","A","Reading Synthesis","C2-secure","meta-science"
"","ACC_011","","","","","","","","","","A","Evidence Evaluation","PhD-screening","research evaluation"
"","ACC_012","","","","","","","","","","A","Rhetorical Inference","C1-high","science communication"
"","ACC_013","","","","","","","","","","A","Reading Synthesis","C2-entry","energy systems"
"","ACC_014","","","","","","","","","","A","Evidence Evaluation","C2-secure","clean-energy planning"
"","ACC_015","","","","","","","","","","A","Rhetorical Inference","PhD-screening","permafrost carbon science"
"","ACC_016","","","","","","","","","","A","Reading Synthesis","C1-high","cryosphere geochemistry"
"","ACC_017","","","","","","","","","","A","Evidence Evaluation","C2-entry","carbon-cycle science"
"","ACC_018","","","","","","","","","","A","Rhetorical Inference","C2-secure","atmospheric health science"
"","ACC_019","","","","","","","","","","A","Reading Synthesis","PhD-screening","climate attribution"
"","ACC_020","","","","","","","","","","A","Evidence Evaluation","C1-high","environmental epidemiology"
"","ACC_021","","","","","","","","","","A","Rhetorical Inference","C2-entry","exoplanet spectroscopy"
"","ACC_022","","","","","","","","","","A","Reading Synthesis","C2-secure","planetary atmospheres"
"","ACC_023","","","","","","","","","","A","Evidence Evaluation","PhD-screening","exoplanet atmospheric science"
"","ACC_024","","","","","","","","","","A","Rhetorical Inference","C1-high","conservation genomics"
"","ACC_025","","","","","","","","","","A","Reading Synthesis","C2-entry","biodiversity monitoring"
"","ACC_026","","","","","","","","","","A","Evidence Evaluation","C2-secure","machine learning methodology"
"","ACC_027","","","","","","","","","","A","Rhetorical Inference","PhD-screening","tabular machine learning"
"","ACC_028","","","","","","","","","","A","Reading Synthesis","C1-high","robotics"
"","ACC_029","","","","","","","","","","A","Evidence Evaluation","C2-entry","robotic perception"
"","ACC_030","","","","","","","","","","A","Rhetorical Inference","C2-secure","embodied AI"
"","ACC_031","","","","","","","","","","A","Reading Synthesis","PhD-screening","computational structural biology"
"","ACC_032","","","","","","","","","","A","Evidence Evaluation","C1-high","climate informatics"
"","ACC_033","","","","","","","","","","A","Rhetorical Inference","C2-entry","atmospheric modelling"
"","ACC_034","","","","","","","","","","A","Reading Synthesis","C2-secure","earth-system AI"
"","ACC_035","","","","","","","","","","A","Evidence Evaluation","PhD-screening","climate modelling"
"","ACC_036","","","","","","","","","","A","Rhetorical Inference","C1-high","clinical AI"
"","ACC_037","","","","","","","","","","A","Reading Synthesis","C2-entry","translational medicine"
"","ACC_038","","","","","","","","","","A","Evidence Evaluation","C2-secure","computational pathology"
"","ACC_039","","","","","","","","","","A","Rhetorical Inference","PhD-screening","multimodal pathology"
"","ACC_040","","","","","","","","","","A","Reading Synthesis","C1-high","meta-science"
"","ACC_041","","","","","","","","","","A","Evidence Evaluation","C2-entry","research evaluation"
"","ACC_042","","","","","","","","","","A","Rhetorical Inference","C2-secure","science communication"
"","ACC_043","","","","","","","","","","A","Reading Synthesis","PhD-screening","energy systems"
"","ACC_044","","","","","","","","","","A","Evidence Evaluation","C1-high","clean-energy planning"
"","ACC_045","","","","","","","","","","A","Rhetorical Inference","C2-entry","permafrost carbon science"
"","ACC_046","","","","","","","","","","A","Reading Synthesis","C2-secure","cryosphere geochemistry"
"","ACC_047","","","","","","","","","","A","Evidence Evaluation","PhD-screening","carbon-cycle science"
"","ACC_048","","","","","","","","","","A","Rhetorical Inference","C1-high","atmospheric health science"
"","ACC_049","","","","","","","","","","A","Reading Synthesis","C2-entry","climate attribution"
"","ACC_050","","","","","","","","","","A","Evidence Evaluation","C2-secure","environmental epidemiology"
"","ACC_051","","","","","","","","","","A","Rhetorical Inference","PhD-screening","exoplanet spectroscopy"
"","ACC_052","","","","","","","","","","A","Reading Synthesis","C1-high","planetary atmospheres"
"","ACC_053","","","","","","","","","","A","Evidence Evaluation","C2-entry","exoplanet atmospheric science"
"","ACC_054","","","","","","","","","","A","Rhetorical Inference","C2-secure","conservation genomics"
"","ACC_055","","","","","","","","","","A","Reading Synthesis","PhD-screening","biodiversity monitoring"
"","ACC_056","","","","","","","","","","A","Evidence Evaluation","C1-high","machine learning methodology"
"","ACC_057","","","","","","","","","","A","Rhetorical Inference","C2-entry","tabular machine learning"
"","ACC_058","","","","","","","","","","A","Reading Synthesis","C2-secure","robotics"
"","ACC_059","","","","","","","","","","A","Evidence Evaluation","PhD-screening","robotic perception"
"","ACC_060","","","","","","","","","","A","Rhetorical Inference","C1-high","embodied AI"
"","ACC_061","","","","","","","","","","A","Reading Synthesis","C2-entry","computational structural biology"
"","ACC_062","","","","","","","","","","A","Evidence Evaluation","C2-secure","climate informatics"
"","ACC_063","","","","","","","","","","A","Rhetorical Inference","PhD-screening","atmospheric modelling"
"","ACC_064","","","","","","","","","","A","Reading Synthesis","C1-high","earth-system AI"
"","ACC_065","","","","","","","","","","A","Evidence Evaluation","C2-entry","climate modelling"
"","ACC_066","","","","","","","","","","A","Rhetorical Inference","C2-secure","clinical AI"
"","ACC_067","","","","","","","","","","A","Reading Synthesis","PhD-screening","translational medicine"
"","ACC_068","","","","","","","","","","A","Evidence Evaluation","C1-high","computational pathology"
"","ACC_069","","","","","","","","","","A","Rhetorical Inference","C2-entry","multimodal pathology"
"","ACC_070","","","","","","","","","","A","Reading Synthesis","C2-secure","meta-science"
"","ACC_071","","","","","","","","","","A","Evidence Evaluation","PhD-screening","research evaluation"
"","ACC_072","","","","","","","","","","A","Rhetorical Inference","C1-high","science communication"
"","ACC_073","","","","","","","","","","A","Reading Synthesis","C2-entry","energy systems"
"","ACC_074","","","","","","","","","","A","Evidence Evaluation","C2-secure","clean-energy planning"
"","ACC_075","","","","","","","","","","A","Rhetorical Inference","PhD-screening","permafrost carbon science"
"","ACC_076","","","","","","","","","","A","Reading Synthesis","C1-high","cryosphere geochemistry"
"","ACC_077","","","","","","","","","","A","Evidence Evaluation","C2-entry","carbon-cycle science"
"","ACC_078","","","","","","","","","","A","Rhetorical Inference","C2-secure","atmospheric health science"
"","ACC_079","","","","","","","","","","A","Reading Synthesis","PhD-screening","climate attribution"
"","ACC_080","","","","","","","","","","A","Evidence Evaluation","C1-high","environmental epidemiology"
"","ACC_081","","","","","","","","","","A","Rhetorical Inference","C2-entry","exoplanet spectroscopy"
"","ACC_082","","","","","","","","","","A","Reading Synthesis","C2-secure","planetary atmospheres"
"","ACC_083","","","","","","","","","","A","Evidence Evaluation","PhD-screening","exoplanet atmospheric science"
"","ACC_084","","","","","","","","","","A","Rhetorical Inference","C1-high","conservation genomics"
"","ACC_085","","","","","","","","","","A","Reading Synthesis","C2-entry","biodiversity monitoring"
"","ACC_086","","","","","","","","","","A","Evidence Evaluation","C2-secure","machine learning methodology"
"","ACC_087","","","","","","","","","","A","Rhetorical Inference","PhD-screening","tabular machine learning"
"","ACC_088","","","","","","","","","","A","Reading Synthesis","C1-high","robotics"
"","ACC_089","","","","","","","","","","A","Evidence Evaluation","C2-entry","robotic perception"
"","ACC_090","","","","","","","","","","A","Rhetorical Inference","C2-secure","embodied AI"
"","ACC_091","","","","","","","","","","A","Reading Synthesis","PhD-screening","computational structural biology"
"","ACC_092","","","","","","","","","","A","Evidence Evaluation","C1-high","climate informatics"
"","ACC_093","","","","","","","","","","A","Rhetorical Inference","C2-entry","atmospheric modelling"
"","ACC_094","","","","","","","","","","A","Reading Synthesis","C2-secure","earth-system AI"
"","ACC_095","","","","","","","","","","A","Evidence Evaluation","PhD-screening","climate modelling"
"","ACC_096","","","","","","","","","","A","Rhetorical Inference","C1-high","clinical AI"
"","ACC_097","","","","","","","","","","A","Reading Synthesis","C2-entry","translational medicine"
"","ACC_098","","","","","","","","","","A","Evidence Evaluation","C2-secure","computational pathology"
"","ACC_099","","","","","","","","","","A","Rhetorical Inference","PhD-screening","multimodal pathology"
"","ACC_100","","","","","","","","","","A","Reading Synthesis","C1-high","meta-science"
"","ACC_101","","","","","","","","","","B","Use of Academic English","C2-secure","research evaluation"
"","ACC_102","","","","","","","","","","B","Abstract Revision","PhD-screening","science communication"
"","ACC_103","","","","","","","","","","B","Lexico-Syntactic Control","C1-high","energy systems"
"","ACC_104","","","","","","","","","","B","Use of Academic English","C2-entry","clean-energy planning"
"","ACC_105","","","","","","","","","","B","Abstract Revision","C2-secure","permafrost carbon science"
"","ACC_106","","","","","","","","","","B","Lexico-Syntactic Control","PhD-screening","cryosphere geochemistry"
"","ACC_107","","","","","","","","","","B","Use of Academic English","C1-high","carbon-cycle science"
"","ACC_108","","","","","","","","","","B","Abstract Revision","C2-entry","atmospheric health science"
"","ACC_109","","","","","","","","","","B","Lexico-Syntactic Control","C2-secure","climate attribution"
"","ACC_110","","","","","","","","","","B","Use of Academic English","PhD-screening","environmental epidemiology"
"","ACC_111","","","","","","","","","","B","Abstract Revision","C1-high","exoplanet spectroscopy"
"","ACC_112","","","","","","","","","","B","Lexico-Syntactic Control","C2-entry","planetary atmospheres"
"","ACC_113","","","","","","","","","","B","Use of Academic English","C2-secure","exoplanet atmospheric science"
"","ACC_114","","","","","","","","","","B","Abstract Revision","PhD-screening","conservation genomics"
"","ACC_115","","","","","","","","","","B","Lexico-Syntactic Control","C1-high","biodiversity monitoring"
"","ACC_116","","","","","","","","","","B","Use of Academic English","C2-entry","machine learning methodology"
"","ACC_117","","","","","","","","","","B","Abstract Revision","C2-secure","tabular machine learning"
