"id","plan_item","status","evidence","note"
"1","Expert review of all 300 items","pending-external","expert_adjudication_report.json; status=awaiting-human-adjudication; reviewers=0","Requires independent human adjudication."
"2","Balanced modules","complete","item_bank.json; modules=9; items=300",""
"3","Difficulty tiers","complete","item_bank.json; tiers=4",""
"4","Complete item metadata","complete","item_bank.json; metadata fields present",""
"5","Distractor taxonomy","complete","item_bank.json; trapTypes=9",""
"6","item_bank source of truth","complete","item_bank.json; academic_test_manifest.json",""
"7","Authoring pipeline","complete","item_bank.json; bank_governance_report.json; status=governance-ready-human-gates-pending","Human gates remain explicit."
"8","Bank linting","complete","bank_quality_review_report.json; hygiene_audit_report.json; hygiene=pass",""
"9","Source report","complete","source_verification_report.json; source_url_audit.json; coverage=300",""
"10","Category C visuals","complete","data_visualization_readiness_report.json; withDataDisplays=100",""
"11","SPA data tables","complete","academic_test_platform.html; category_c_visualization_matrix.csv",""
"12","Full exam protocol","complete","exam_protocol_report.json; status=exam-protocol-ready",""
"13","Short and domain modes","partial","academic_test_platform.html; domains=30; category and domain filters exist","Domain drill presets are filters, not named drill attempts."
"14","Adaptive mode","readiness-pass","adaptive_readiness_report.json; status=heuristic-adaptive-ready-calibrated-cat-pending","Calibrated IRT/CAT waits for pilot data."
"15","Scoring model","complete","item_bank.json; score_interpretation_report.json",""
"16","CEFR explanation","readiness-pass","cefr_interpretation_report.json; gate=readiness-pass","Bands are provisional before standard-setting."
"17","Per-skill analytics","partial","academic_test_platform.html",""
"18","Review filters","complete","academic_test_platform.html",""
"19","Answer history","complete","academic_test_platform.html",""
"20","JSON CSV PDF exports","complete","export_integrity_report.json; pdf_report_pipeline_report.json",""
"21","Candidate evaluator reports","complete","academic_test_platform.html; pdf_report_pipeline_report.json",""
"22","Named session slots","complete","session_management_report.json; status=session-management-ready",""
"23","Resets","partial","academic_test_platform.html",""
"24","Progress map","complete","academic_test_platform.html",""
"25","Search","complete","academic_test_platform.html",""
"26","Keyboard shortcuts","complete","academic_test_platform.html",""
"27","Mobile UX","complete","visual_snapshot_report.json; qa_mobile_initial.png",""
"28","Reading settings","partial","academic_test_platform.html",""
"29","Accessibility","partial","accessibility_audit.json; wcag_audit_report.json; wcag_assistive_tech_protocol.md; gate=readiness-pass","Formal assistive-technology signoff remains external."
"30","Light dark system theme","partial","academic_test_platform.html; theme toggle implemented","System preference auto-detection is not present."
"31","Exam integrity","complete","academic_test_platform.html; proctoring_integrity_policy.md",""
"32","Learning mode","complete","academic_test_platform.html",""
"33","Blind review","complete","academic_test_platform.html",""
"34","Confidence marking","complete","academic_test_platform.html",""
"35","Confidence analytics","complete","academic_test_platform.html",""
"36","Admin debug","partial","academic_test_platform.html",""
"37","QA dashboard","complete","qa_dashboard_report.json; pass=20; pending=3",""
"38","Uniqueness","complete","item_bank.json; bank_quality_review_report.json",""
"39","Semantic audit","complete","construct_coverage_report.json; deep_content_audit.json",""
"40","Banned phrases","complete","banned_phrase_registry.json; hygiene_audit_report.json",""
"41","Templates with gates","complete","authoring_templates.md; manual_review_packet.md",""
"42","Regression tests","complete","academic_test_quality_audit.json; qa_dashboard_report.json",""
"43","Snapshot QA","complete","visual_snapshot_report.json; visual_snapshot_matrix.csv",""
"44","Content tests","complete","deep_content_audit.json",""
"45","Source tests","complete","source_url_audit.json; source_verification_report.json",""
"46","No secrets emails","complete","hygiene_audit_report.json; gate=pass",""
"47","Versioning","complete","item_bank.json; bankVersion=ACC-C1C2-2026.27; schemaVersion=2.25.0",""
"48","Changelog","complete","CHANGELOG.md",""
"49","Docs","complete","assessment_platform_docs.md; manual_review_packet.md",""
"50","Roadmap","complete","next_bank_authoring_plan.md; next_improvement_plan.md",""
"51","Known limitations","complete","item_bank.json; production_readiness_report.json",""
"52","Licensing note","complete","source_verification_report.json; All passages, prompts, options and rationales are original assessment prose; sources are used only as article-level research horizons.",""
"53","Deploy prep Vite React","partial","production_deployment_runbook.md; app.webmanifest; sw.js","Standalone deployment is prepared; React/Vite app split is not implemented."
"54","PWA","complete","app.webmanifest; sw.js",""
"55","Bank import export","complete","academic_test_platform.html",""
"56","New banks without HTML edits","complete","academic_test_platform.html; academic_test_manifest.json",""
"57","Teacher evaluator mode","readiness-pass","secure_delivery_readiness_report.json; academic_test_platform.html; gate=prototype-pass","Production hosted auth remains pending."
"58","Candidate mode","complete","academic_test_platform.html",""
"59","Random options mapping","complete","academic_test_platform.html; export_integrity_report.json",""
"60","Section random order","complete","section_randomization_report.json; status=section-randomization-ready",""
"61","Anti-pattern audit","complete","banned_phrase_registry.json; bank_quality_review_report.json",""
"62","Distractor plausibility","complete","distractor_quality_report.json; ratings=300; weak=0",""
"63","Manual checklist","complete","manual_review_packet.md; items=300",""
"64","Psychometrics after pilot","pending-external","psychometric_calibration_report.json; status=awaiting-pilot-data; candidates=0","Requires real pilot-response data."
"65","Retirement rules","complete","item_bank.json; item_lifecycle_policy.md",""
"66","Production readiness","partial","production_readiness_report.json; level=professional offline beta; not yet production-calibrated","Readiness report says beta, not calibrated production."
"67","Final full audit","partial","qa_dashboard_report.json; deep_content_audit.json; goal_completion_audit.json","Automated audit is complete; external gates remain."
