"item_id","has_table","has_visualization","type","series_count","has_estimate","has_sensitivity","has_missingness","has_aria_label","encoding_count"
"ACC_201","true","true","interval-bar","3","true","true","true","true","3"
"ACC_202","true","true","interval-bar","3","true","true","true","true","3"
"ACC_203","true","true","interval-bar","3","true","true","true","true","3"
"ACC_204","true","true","interval-bar","3","true","true","true","true","3"
"ACC_205","true","true","interval-bar","3","true","true","true","true","3"
"ACC_206","true","true","interval-bar","3","true","true","true","true","3"
"ACC_207","true","true","interval-bar","3","true","true","true","true","3"
"ACC_208","true","true","interval-bar","3","true","true","true","true","3"
"ACC_209","true","true","interval-bar","3","true","true","true","true","3"
"ACC_210","true","true","interval-bar","3","true","true","true","true","3"
"ACC_211","true","true","interval-bar","3","true","true","true","true","3"
"ACC_212","true","true","interval-bar","3","true","true","true","true","3"
"ACC_213","true","true","interval-bar","3","true","true","true","true","3"
"ACC_214","true","true","interval-bar","3","true","true","true","true","3"
"ACC_215","true","true","interval-bar","3","true","true","true","true","3"
"ACC_216","true","true","interval-bar","3","true","true","true","true","3"
"ACC_217","true","true","interval-bar","3","true","true","true","true","3"
"ACC_218","true","true","interval-bar","3","true","true","true","true","3"
"ACC_219","true","true","interval-bar","3","true","true","true","true","3"
"ACC_220","true","true","interval-bar","3","true","true","true","true","3"
"ACC_221","true","true","interval-bar","3","true","true","true","true","3"
"ACC_222","true","true","interval-bar","3","true","true","true","true","3"
"ACC_223","true","true","interval-bar","3","true","true","true","true","3"
"ACC_224","true","true","interval-bar","3","true","true","true","true","3"
"ACC_225","true","true","interval-bar","3","true","true","true","true","3"
"ACC_226","true","true","interval-bar","3","true","true","true","true","3"
"ACC_227","true","true","interval-bar","3","true","true","true","true","3"
"ACC_228","true","true","interval-bar","3","true","true","true","true","3"
"ACC_229","true","true","interval-bar","3","true","true","true","true","3"
"ACC_230","true","true","interval-bar","3","true","true","true","true","3"
"ACC_231","true","true","interval-bar","3","true","true","true","true","3"
"ACC_232","true","true","interval-bar","3","true","true","true","true","3"
"ACC_233","true","true","interval-bar","3","true","true","true","true","3"
"ACC_234","true","true","interval-bar","3","true","true","true","true","3"
"ACC_235","true","true","interval-bar","3","true","true","true","true","3"
"ACC_236","true","true","interval-bar","3","true","true","true","true","3"
"ACC_237","true","true","interval-bar","3","true","true","true","true","3"
"ACC_238","true","true","interval-bar","3","true","true","true","true","3"
"ACC_239","true","true","interval-bar","3","true","true","true","true","3"
"ACC_240","true","true","interval-bar","3","true","true","true","true","3"
"ACC_241","true","true","interval-bar","3","true","true","true","true","3"
"ACC_242","true","true","interval-bar","3","true","true","true","true","3"
"ACC_243","true","true","interval-bar","3","true","true","true","true","3"
"ACC_244","true","true","interval-bar","3","true","true","true","true","3"
"ACC_245","true","true","interval-bar","3","true","true","true","true","3"
"ACC_246","true","true","interval-bar","3","true","true","true","true","3"
"ACC_247","true","true","interval-bar","3","true","true","true","true","3"
"ACC_248","true","true","interval-bar","3","true","true","true","true","3"
"ACC_249","true","true","interval-bar","3","true","true","true","true","3"
"ACC_250","true","true","interval-bar","3","true","true","true","true","3"
"ACC_251","true","true","interval-bar","3","true","true","true","true","3"
"ACC_252","true","true","interval-bar","3","true","true","true","true","3"
"ACC_253","true","true","interval-bar","3","true","true","true","true","3"
"ACC_254","true","true","interval-bar","3","true","true","true","true","3"
"ACC_255","true","true","interval-bar","3","true","true","true","true","3"
"ACC_256","true","true","interval-bar","3","true","true","true","true","3"
"ACC_257","true","true","interval-bar","3","true","true","true","true","3"
"ACC_258","true","true","interval-bar","3","true","true","true","true","3"
"ACC_259","true","true","interval-bar","3","true","true","true","true","3"
"ACC_260","true","true","interval-bar","3","true","true","true","true","3"
