"item_id","category","skill_module","difficulty_tier","response_count","facility_index","discrimination_index","mean_time_seconds","high_confidence_accuracy","retirement_recommendation"
"ACC_001","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_002","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_003","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_004","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_005","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_006","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_007","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_008","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_009","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_010","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_011","A","Evidence Evaluation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_012","A","Rhetorical Inference","C1-high","0","","","","","awaiting-pilot-data"
"ACC_013","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_014","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_015","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_016","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_017","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_018","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_019","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_020","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_021","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_022","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
